name|surname|role_type|linkedin_url|twitter_handle|biography|location|birth_year|education|previous_experience|specialization|reputation_score
Gianluca|Epifani|CTO|https://www.linkedin.com/in/gianluca-epifani-6880114/|||||||CTO|
Marco|Montemagno|Founder|https://www.linkedin.com/in/marcomontemagno/|||||||Founder|
Marco|Calabro|COO & Co-Founder|https://www.linkedin.com/in/marcocalabro/|||||||COO & Co-Founder|
Lorenzo|Allamprese|COO|https://www.linkedin.com/in/lorenzo-allamprese-829bb979/|||||||COO|
Mattia|Peracchi|CTO|https://www.linkedin.com/in/mattiaperacchi/|||||||CTO|
Daniele|Gamba|CEO|https://www.linkedin.com/in/daniele-gamba/|||||||CEO|
Emanuele|Gusso|Co-Founder|https://www.linkedin.com/in/emanuele-gusso-9a42701b6/|||||||Co-Founder|
Fabio|Frattin|Co-Founder|https://www.linkedin.com/in/fabio-frattin-973b49144/|||||||Co-Founder|
Mauro|Musarra|Co-Founder & CEO|https://www.linkedin.com/in/mauro-musarra/|||||||Co-Founder & CEO|
Giovanni|Cioffi|Co-Founder|https://www.linkedin.com/in/giovanni-cioffi/|||||||Co-Founder|
Antonino|Geraci|Co-Founder|https://www.linkedin.com/in/antonino-geraci/|||||||Co-Founder|
Matteo|Tarantino|Co-Founder & CTO|https://www.linkedin.com/in/matteo-tarantino-b896521b6/|||||||Co-Founder & CTO|
Daniele|Di Viccaro|Co-Founder & CPO|https://www.linkedin.com/in/danielediviccaro/|||||||Co-Founder & CPO|
Antonio|Restaino|Head of Sales|https://www.linkedin.com/in/antonio-restaino/|||||||Head of Sales|
Lorenzo|Balzani|CTO|https://www.linkedin.com/in/lorenzobalzani/|||||||CTO|
Gianluca|Sordano|Co-Founder & CEO|https://www.linkedin.com/in/gianlucasordano/|||||||Co-Founder & CEO|
Sonia|Paonessa|Founder & CEO|https://www.linkedin.com/in/sonia-paonessa/|||||||Founder & CEO|
Marco|Da Rin Zanco|Co-Founder & CEO|https://www.linkedin.com/in/marcodarin/|||||||Co-Founder & CEO|
Michele|Da Rold|Co-Founder|https://www.linkedin.com/in/donmicheledarold/|||||||Co-Founder|
Andrea|Riva|Co-Founder & CEO|https://www.linkedin.com/in/andrea-riva-86456883/|||||||Co-Founder & CEO|
Michele|Ferri|Co-Founder & CSO|https://www.linkedin.com/in/michele-ferri-2253aa20b/|||||||Co-Founder & CSO|
Sebastiano|Bellani|Co-Founder & CTO|https://www.linkedin.com/in/sebastiano-bellani-591373271/|||||||Co-Founder & CTO|
Claudio|Cama|Founder|https://www.linkedin.com/in/claudio-cama/|||||||Founder|
