person_name|person_surname|startup_name|role|founding_date|equity_percentage|is_current|exit_date
Gianluca|Epifani|4books|CTO|2017||True|
Marco|Montemagno|4books|Founder|2017||True|
Marco|Calabro|4books|COO & Co-Founder|2017||True|
Lorenzo|Allamprese|7Seconds App|COO|2025||True|
Mattia|Peracchi|AISent|CTO|2018||True|
Daniele|Gamba|AISent|CEO|2018||True|
Emanuele|Gusso|Algor|Co-Founder|2021||True|
Fabio|Frattin|Algor|Co-Founder|2021||True|
Mauro|Musarra|Algor|Co-Founder & CEO|2021||True|
Giovanni|Cioffi|Algor|Co-Founder|2021||True|
Antonino|Geraci|Algor|Co-Founder|2021||True|
Matteo|Tarantino|Algor|Co-Founder & CTO|2021||True|
Daniele|Di Viccaro|Always Friday|Co-Founder & CPO|2024||True|
Antonio|Restaino|Always Friday|Head of Sales|2024||True|
Lorenzo|Balzani|Always Friday|CTO|2024||True|
Gianluca|Sordano|Always Friday|Co-Founder & CEO|2024||True|
Sonia|Paonessa|Amalia|Founder & CEO|2020||True|
Marco|Da Rin Zanco|amuseapp|Co-Founder & CEO|2015||True|
Michele|Da Rold|amuseapp|Co-Founder|2015||True|
Andrea|Riva|Antares Electrolysis|Co-Founder & CEO|2024||True|
Michele|Ferri|Antares Electrolysis|Co-Founder & CSO|2024||True|
Sebastiano|Bellani|Antares Electrolysis|Co-Founder & CTO|2024||True|
Claudio|Cama|Appbox.cloud|Founder|2023||True|
Ilyich|Vismara|Arkemis|CTO|2020||True|
Dorian|Mercatante|Arkemis|CEO|2020||True|
Manolo|Battista|Arkemis|COO|2020||True|
Silvio|Bonomi|Artemis Leads|Founder|2024||True|
Vincenzo|Schifano|Aryel|Co-Founder & COO|2019||True|
Mattia|Salvi|Aryel|Co-Founder & CEO|2019||True|
Leonardo|Persico|Aryel|Co-Founder & Tech Director|2019||True|
Francesco|Froni|Athena|Co-Founder|2024||True|
Giacomo|Rossi|Athena|Co-Founder|2024||True|
Alfredo|Ceci|Athena|Co-Founder|2024||True|
Ferruccio|Tasca|Aurea Hub|Fo-Founder & CEO|2022||True|
Jacopo|Pertile|AWMS - Workforce Management|Co-Founder|2020||True|
Carlo|Pasqualetto|AWMS - Workforce Management|Co-Founder & CEO|2020||True|
Roberto|Nicastro|Banca AideXa|Co-Founder|2019||True|
Federico|Sforza|Banca AideXa|Co-Founder & CEO|2019||True|
Massimiliano|Carraro|Behavix|Co-Founder|2024||True|
Stefania|Malfatti|Behavix|Co-Founder & CEO|2024||True|
Alessandra|Ureche|BiHilo|Founder|2024||True|
Andrea|Maranelli|Bikeflip|Co-Founder & CEO|2020||True|
Fabio|Wibmer|Bikeflip|Co-Founder|2020||True|
Nikolai|Holder|Bikeflip|Co-Founder|2020||True|
Giorgio|Ennas|BIOMEYE|CEO|2022||True|
Giovanni|Antonio Zappatore|BionIT Labs|Co-Founder & CEO|2018||True|
Federico|Gaetani|BionIT Labs|Co-Founder & CTO|2018||True|
Matteo|Aventaggiato|BionIT Labs|Co-Founder & COO|2018||True|
Emanuele|Cipriani|BONOOS|Co-Founder|2023||True|
Giovanni|Scansani|BONOOS|Co-Founder|2023||True|
Fabrizio|Pinci|BonusX|Co-Founder|2020||True|
Giovanni|Pizza|BonusX|Co-Founder & CEO|2020||True|
Marta|Basso|Brandplane|Co-Founder & CEO|2023||True|
Emanuele|Bartolesi|Brandplane|Co-Founder & CTO|2023||True|
Luca|Cozzarini|BRUM|Co-Founder|2024||True|
Stefano|Cortese|Buddyfit|Co-Founder & CTO|2018||True|
Stefano|Manzoni|Buddyfit|Co-Founder & COO|2018||True|
Giovanni|Ciferri|Buddyfit|Co-Founder & CEO|2018||True|
Stefano|Tazio|Builtdifferent|Co-Founder|2022||True|
Riccardo|Pirlea|Builtdifferent|Co-Founder|2022||True|
Cristian|Nozzi|Cassandra|Founder & CTO|2022||True|
Claudio|Cardinale|Cents|Co-Founder & CTO|2021||True|
Alessio|Mazzalupi|Cents|Co-Founder|2021||True|
Riccardo|Valobra|Cents|Co-Founder|2021||True|
Fabrizio|Maiocco|CGM Verse|Co-Founder|2023||True|
Juri|Cinti|CGM Verse|Co-Founder|2023||True|
Enrico|Gramaglia|CGM Verse|Co-Founder|2023||True|
Paolo|De Giglio|chiama.ai|CEO|2023||True|
Marco|Agnoletto|Ciao Elsa|Co-Founder|2023||True|
Anna|Vinci|Ciao Elsa|Co-Founder|2023||True|
Alessio|Pracchia|Clubbing|CTO|2020||True|
Simona|Calugi|Clubbing|Co-Founder|2020||True|
Andreea|Popa|Clubbing|Account Manager|2020||True|
Nadir|Papini|Clubbing|Co-Founder|2020||True|
Francesco|Leinardi|Clubbing|Software Engineer|2020||True|
Iris|Calugi|Clubbing|Social Media Marketing Manager|2020||True|
Paolo|De Giglio|Colibryx|CEO|2022||True|
Salvatore|Zola|Collecto App|Co-Founder & CPO|2024||True|
Giovanni|Camisasca|Collecto App|Co-Founder & CEO|2024||True|
Matteo|Costantini|Collecto App|Co-Founder & CIO|2024||True|
Edoardo|Gava|compri|Co-Founder|2024||True|
Edoardo|Arbizzi|compri|Co-Founder|2024||True|
Gabriele|Lantini|CON4US|CEO|2021||True|
Matteo|Ducci|CON4US|Co-Founder|2021||True|
Marco|Porcaro|Cortilia|Founder|2011||True|
Maximiliano|Volpi|Cortilia|CFO|2011||True|
Andrea|Colombo|Cortilia|CEO|2011||True|
Matteo|Roversi|Cosmico|Co-Founder|2019||True|
Francesco|Marino|Cosmico|Co-Founder & CEO|2019||True|
Alessandro|La Rosa|CreationDose|Founder & CEO|2018||True|
Lorenzo|Tiberi|Crono|Co-Founder|2022||True|
Alex|Roggero|Crono|Co-Founder & CMO|2022||True|
Marco|Rosmarini|Crono|Co-Founder & CEO|2022||True|
Marco|Maddiona|Crono|Co-Founder & CTO|2022||True|
Domenico|Campeglia|CyberGuardX|CEO|2024||True|
Alessandro|Risaro|Datapizza|Co-Founder|2021||True|
Pierpaolo|D'Odorico|Datapizza|Co-Founder|2021||True|
Lorenzo|Ferretti|DeepTree|Founder|2024||True|
Giuseppe|Calì|Delfi Security|Founder|2023||True|
Mirko|Puliafito|Digitiamo.ai|CEO|2020||True|
Giovanni|Menozzi|Dreamfarm foods|CEO|2021||True|
Virginia|Padovani|Drilly|Co-Founder|2024||True|
Gaia|Roncalli|Ecosmic|Founder & COO|2023||True|
Imane|Marouf|Ecosmic|Founder|2023||True|
Benedetta|Margrethe Cattani|Ecosmic|Founder & CEO / CTO|2023||True|
Eduardo|Galletti|Elevatee|Co-Founder|2023||True|
Andrea|Trotta|Elevatee|Co-Founder|2023||True|
Luca|Gilardoni|Elibra|President|2017||True|
Irene|Pugliatti|Eligo eVoting|CEO|2005||True|
Saverio|Veltri|Eligo eVoting|CTO|2005||True|
Stefano|Casagrande|Elty|Co-Founder & CEO|2019||True|
Andrea|Orani|Elty|Co-Founder & CEO|2019||True|
Lorenza|Silvestri|Empethy|Co-Founder & CMO|2021||True|
