name|description|website|founded_year|headquarters|type|investment_focus|stage_focus|geographic_focus|team_size|assets_under_management|portfolio_companies_count
P101|||||VC_Firm||||||
40Jemz Ventures|||||VC_Firm||||||
Emerge VC|||||VC_Firm||||||
Vento Ventures|||||VC_Firm||||||
PranaVentures|||||VC_Firm||||||
360 Capital|||||VC_Firm||||||
Banca Sella|||||VC_Firm||||||
EIT Food|||||VC_Firm||||||
2100 Ventures|||||VC_Firm||||||
Exceptional Ventures|||||VC_Firm||||||
Giant Ventures|||||VC_Firm||||||
Exor Ventures|||||VC_Firm||||||
Azimut Holding|||||VC_Firm||||||
RCS MediaGroup|||||VC_Firm||||||
Primo Capital|||||VC_Firm||||||
Techstars|||||VC_Firm||||||
Primo Ventures|||||VC_Firm||||||
Oltre Impact|||||VC_Firm||||||
Ad4Ventures|||||VC_Firm||||||
CDP Venture Capital|||||VC_Firm||||||
The Liquid Factory|||||VC_Firm||||||
Vertis SGR|||||VC_Firm||||||
VC Partners|||||VC_Firm||||||
GALAXIA|||||VC_Firm||||||
MoffuLabs|||||VC_Firm||||||
Opes Italia|||||VC_Firm||||||
SocialFare Seed|||||VC_Firm||||||
Bios Line Holding|||||VC_Firm||||||
Growth Engine|||||VC_Firm||||||
Eurazeo|||||VC_Firm||||||
United Ventures|||||VC_Firm||||||
Axon Partners Group|||||VC_Firm||||||
LVenture Group|||||VC_Firm||||||
Luiss Alumni 4 Growth|||||VC_Firm||||||
Deep Ocean Capital|||||VC_Firm||||||
B4I - Bocconi for innovation|||||Institution||||||
G-Factor|||||VC_Firm||||||
SeedBlink|||||VC_Firm||||||
Personae|||||VC_Firm||||||
Vesper Holding|||||VC_Firm||||||
RoboIT|||||VC_Firm||||||
Rigel Ventures|||||VC_Firm||||||
Ventive|||||VC_Firm||||||
Mival Capital|||||VC_Firm||||||
AFP CAPITAL|||||VC_Firm||||||
Potakoi|||||VC_Firm||||||
Tech4Planet|||||VC_Firm||||||
Base10 Partners|||||VC_Firm||||||
Picus Capital|||||VC_Firm||||||
Italian Founders Fund|||||VC_Firm||||||
Doorway|||||VC_Firm||||||
Lazio Innova|||||VC_Firm||||||
TechBricks|||||VC_Firm||||||
Mondadori PLAI|||||VC_Firm||||||
Startupbootcamp|||||VC_Firm||||||
Cariplo Factory|||||VC_Firm||||||
Startup Wise Guys|||||VC_Firm||||||
Proximity Capital|||||VC_Firm||||||
LMDV Capital|||||VC_Firm||||||
RTP Global|||||VC_Firm||||||
Nana Bianca|||||VC_Firm||||||
Lightrock|||||VC_Firm||||||
Addition|||||VC_Firm||||||
FG2 Capital|||||VC_Firm||||||
Lumen Ventures|||||VC_Firm||||||
Angelini Ventures|||||VC_Firm||||||
Azimut Libera Impresa|||||VC_Firm||||||
Plug and Play|||||VC_Firm||||||
The Techshop SGR|||||VC_Firm||||||
Partech|||||VC_Firm||||||
B Heroes|||||VC_Firm||||||
Finint Investments|||||VC_Firm||||||
BlackSheep Fund|||||VC_Firm||||||
Eden Ventures|||||VC_Firm||||||
Moonstone Venture Capital|||||VC_Firm||||||
KF-Invest|||||VC_Firm||||||
Ulixes Capital Partners|||||VC_Firm||||||
Lifegate|||||VC_Firm||||||
Fasanara Capital|||||VC_Firm||||||
Digital Magics|||||VC_Firm||||||
MobilityUP|||||VC_Firm||||||
Sullivan Ventures|||||VC_Firm||||||
14Peaks Capital|||||VC_Firm||||||
