name|description|website|founded_year|headquarters|type|investment_focus|stage_focus|geographic_focus|team_size|assets_under_management|portfolio_companies_count
360 Capital Italia SICAF|VC Fund supported by CDP Venture Capital through VenturItaly Fund  of Funds / VenturItaly II Fund of Funds|https://www.360cap.vc/||Italy|VC_Fund|Technology|Growth|Italy|||
360 Digitaly|VC Fund supported by CDP Venture Capital through Digital Transition NRRP Fund|https://www.360cap.vc/ressources/announcing-360-digitaly-a-new-chapter-in-digital-innovation||Italy|VC_Fund|Technology|Growth|Italy|||
360 Life II|VC Fund supported by CDP Venture Capital through International Fund of Funds / Green Transition NRRP Fund| https://www.360cap.vc/ressources/fueling-the-green-revolution-with-360-life-ii||Italy|VC_Fund|Technology|Growth|Italy|||
Algebris Climatech Fund I|VC Fund supported by CDP Venture Capital through Technology Transfer Fund / Green Transition NRRP Fund|https://www.algebris.com/it/fund/algebris-climatech-fund-i/||Italy|VC_Fund|Technology|Growth|Italy|||
Blacksheep MadTech|VC Fund supported by CDP Venture Capital through VenturItaly Fund of Funds|https://blacksheep.ventures/||Italy|VC_Fund|Technology|Growth|Italy|||
Claris Biotech I|VC Fund supported by CDP Venture Capital through VenturItaly Fund of Funds|http://www.clarisventures.com/||Italy|VC_Fund|Technology|Growth|Italy|||
Claris Biotech II|VC Fund supported by CDP Venture Capital through VenturItaly II Fund of Funds|https://www.clarisventures.com/||Italy|VC_Fund|Technology|Growth|Italy|||
Cysero EuVECA|VC Fund supported by CDP Venture Capital through Technology Transfer Fund|https://avmgestioni.com/fondo-cysero/||Italy|VC_Fund|Technology|Growth|Italy|||
Deep Blue Ventures|VC Fund supported by CDP Venture Capital through Technology Transfer Fund|https://deepoceancapital.it/||Italy|VC_Fund|Technology|Growth|Italy|||
Earlybird DWES Fund VIII|VC Fund supported by CDP Venture Capital through International Fund of Funds|https://earlybird.com/||Italy|VC_Fund|Technology|Growth|Italy|||
Eurazeo Digital IV|VC Fund supported by CDP Venture Capital through International Fund of Funds|https://www.eurazeo.com/en||Italy|VC_Fund|Technology|Growth|Italy|||
Eureka! Fund I|VC Fund supported by CDP Venture Capital through Technology Transfer Fund|https://www.eurekaventure.it/||Italy|VC_Fund|Technology|Growth|Italy|||
First Space Fund|VC Fund supported by CDP Venture Capital through VenturItaly Fund of Funds|https://www.primomigliosgr.it/primospace/||Italy|VC_Fund|Technology|Growth|Italy|||
Impact Growth V|VC Fund supported by CDP Venture Capital through International Fund of Funds|https://www.impact-partners.com/||Italy|VC_Fund|Technology|Growth|Italy|||
