investor_name|investor_type|startup_name|round_stage|round_date|amount|valuation_pre|valuation_post|is_lead_investor|board_seats|equity_percentage
CDP Venture Capital|Government_VC|2Hire|Growth|||||true||
CDP Venture Capital|Government_VC|3nd|Growth|||||true||
CDP Venture Capital|Government_VC|40 South Energy|Growth|||||true||
CDP Venture Capital|Government_VC|Aether Fuels|Growth|||||true||
CDP Venture Capital|Government_VC|Agade|Growth|||||true||
CDP Venture Capital|Government_VC|Aileens Pharma|Growth|||||true||
CDP Venture Capital|Government_VC|Altilia|Growth|||||true||
CDP Venture Capital|Government_VC|A Meras Annos|Growth|||||true||
CDP Venture Capital|Government_VC|Angiodroid|Growth|||||true||
CDP Venture Capital|Government_VC|Arduino|Growth|||||true||
CDP Venture Capital|Government_VC|Arsenale Bioyards|Growth|||||true||
CDP Venture Capital|Government_VC|Art Backers|Growth|||||true||
CDP Venture Capital|Government_VC|AWorld|Growth|||||true||
CDP Venture Capital|Government_VC|Axelera AI|Growth|||||true||
CDP Venture Capital|Government_VC|Axyon AI|Growth|||||true||
CDP Venture Capital|Government_VC|Babaco Market|Growth|||||true||
CDP Venture Capital|Government_VC|Bedimensional|Growth|||||true||
CDP Venture Capital|Government_VC|Besafe Rate|Growth|||||true||
CDP Venture Capital|Government_VC|Bio Aurum|Growth|||||true||
CDP Venture Capital|Government_VC|BionIT Labs|Growth|||||true||
CDP Venture Capital|Government_VC|BrandOn Group|Growth|||||true||
CDP Venture Capital|Government_VC|Buzzoole|Growth|||||true||
CDP Venture Capital|Government_VC|CAEmate|Growth|||||true||
CDP Venture Capital|Government_VC|Caracol|Growth|||||true||
CDP Venture Capital|Government_VC|Cartilago|Growth|||||true||
CDP Venture Capital|Government_VC|Cervellotik Education|Growth|||||true||
CDP Venture Capital|Government_VC|Codemotion|Growth|||||true||
CDP Venture Capital|Government_VC|Confirmo|Growth|||||true||
CDP Venture Capital|Government_VC|Connexa InsTech Srl e Connexa|Growth|||||true||
CDP Venture Capital|Government_VC|Cubbit|Growth|||||true||
CDP Venture Capital|Government_VC|Datafalls|Growth|||||true||
CDP Venture Capital|Government_VC|DazeTechnology|Growth|||||true||
CDP Venture Capital|Government_VC|Develhope|Growth|||||true||
CDP Venture Capital|Government_VC|Diadem|Growth|||||true||
CDP Venture Capital|Government_VC|Doctorium srl|Growth|||||true||
CDP Venture Capital|Government_VC|D-Orbit|Growth|||||true||
CDP Venture Capital|Government_VC|Dotx|Growth|||||true||
CDP Venture Capital|Government_VC|Ebamed|Growth|||||true||
CDP Venture Capital|Government_VC|Echolight|Growth|||||true||
CDP Venture Capital|Government_VC|Edulia|Growth|||||true||
CDP Venture Capital|Government_VC|Eggtronic|Growth|||||true||
CDP Venture Capital|Government_VC|Ekona Power|Growth|||||true||
CDP Venture Capital|Government_VC|Empatica|Growth|||||true||
CDP Venture Capital|Government_VC|EnergyDome|Growth|||||true||
CDP Venture Capital|Government_VC|Envision|Growth|||||true||
CDP Venture Capital|Government_VC|Evja|Growth|||||true||
CDP Venture Capital|Government_VC|Exo Lab Italia|Growth|||||true||
CDP Venture Capital|Government_VC|Faba|Growth|||||true||
CDP Venture Capital|Government_VC|FifthIngenium|Growth|||||true||
CDP Venture Capital|Government_VC|Flyer Tech Srl - Transactionale|Growth|||||true||
CDP Venture Capital|Government_VC|FX12|Growth|||||true||
CDP Venture Capital|Government_VC|Genenta Science|Growth|||||true||
CDP Venture Capital|Government_VC|Genespire|Growth|||||true||
CDP Venture Capital|Government_VC|Genomeup|Growth|||||true||
CDP Venture Capital|Government_VC|Genuino Blockchain Technologies|Growth|||||true||
CDP Venture Capital|Government_VC|Giffoni Innovation Hub|Growth|||||true||
CDP Venture Capital|Government_VC|Gility|Growth|||||true||
CDP Venture Capital|Government_VC|GreenBone Ortho SpA|Growth|||||true||
CDP Venture Capital|Government_VC|Gyala|Growth|||||true||
CDP Venture Capital|Government_VC|Gymnasio|Growth|||||true||
CDP Venture Capital|Government_VC|Habacus|Growth|||||true||
CDP Venture Capital|Government_VC|HBI|Growth|||||true||
CDP Venture Capital|Government_VC|Healthy Virtuoso|Growth|||||true||
CDP Venture Capital|Government_VC|Hevolus|Growth|||||true||
CDP Venture Capital|Government_VC|Hexadrive|Growth|||||true||
CDP Venture Capital|Government_VC|Hlpy|Growth|||||true||
CDP Venture Capital|Government_VC|HOPLIX|Growth|||||true||
CDP Venture Capital|Government_VC|HT Materials Science Limited|Growth|||||true||
CDP Venture Capital|Government_VC|Hydraink|Growth|||||true||
CDP Venture Capital|Government_VC|IAMA Therapeutics|Growth|||||true||
