investor_name|investor_type|fund_name|commitment_amount|commitment_date|fund_vehicle|relationship_type|notes|source
VenturItaly II Fund of Funds|VC_Fund|360 Capital Italia SICAF|||VenturItaly Fund  of Funds / VenturItaly II Fund of Funds|LP|VenturItaly II Fund of Funds acts as LP in 360 Capital Italia SICAF|cdpventurecapital.it
Digital Transition NRRP Fund|VC_Fund|360 Digitaly|||Digital Transition NRRP Fund|LP|Digital Transition NRRP Fund acts as LP in 360 Digitaly|cdpventurecapital.it
International Fund of Funds|VC_Fund|360 Life II|||International Fund of Funds / Green Transition NRRP Fund|LP|International Fund of Funds acts as LP in 360 Life II|cdpventurecapital.it
Green Transition NRRP Fund|VC_Fund|360 Life II|||International Fund of Funds / Green Transition NRRP Fund|LP|Green Transition NRRP Fund acts as LP in 360 Life II|cdpventurecapital.it
Technology Transfer Fund|VC_Fund|Algebris Climatech Fund I|||Technology Transfer Fund / Green Transition NRRP Fund|LP|Technology Transfer Fund acts as LP in Algebris Climatech Fund I|cdpventurecapital.it
Green Transition NRRP Fund|VC_Fund|Algebris Climatech Fund I|||Technology Transfer Fund / Green Transition NRRP Fund|LP|Green Transition NRRP Fund acts as LP in Algebris Climatech Fund I|cdpventurecapital.it
VenturItaly Fund of Funds|VC_Fund|Blacksheep MadTech|||VenturItaly Fund of Funds|LP|VenturItaly Fund of Funds acts as LP in Blacksheep MadTech|cdpventurecapital.it
VenturItaly Fund of Funds|VC_Fund|Claris Biotech I|||VenturItaly Fund of Funds|LP|VenturItaly Fund of Funds acts as LP in Claris Biotech I|cdpventurecapital.it
VenturItaly II Fund of Funds|VC_Fund|Claris Biotech II|||VenturItaly II Fund of Funds|LP|VenturItaly II Fund of Funds acts as LP in Claris Biotech II|cdpventurecapital.it
Technology Transfer Fund|VC_Fund|Cysero EuVECA|||Technology Transfer Fund|LP|Technology Transfer Fund acts as LP in Cysero EuVECA|cdpventurecapital.it
Technology Transfer Fund|VC_Fund|Deep Blue Ventures|||Technology Transfer Fund|LP|Technology Transfer Fund acts as LP in Deep Blue Ventures|cdpventurecapital.it
International Fund of Funds|VC_Fund|Earlybird DWES Fund VIII|||International Fund of Funds|LP|International Fund of Funds acts as LP in Earlybird DWES Fund VIII|cdpventurecapital.it
International Fund of Funds|VC_Fund|Eurazeo Digital IV|||International Fund of Funds|LP|International Fund of Funds acts as LP in Eurazeo Digital IV|cdpventurecapital.it
Technology Transfer Fund|VC_Fund|Eureka! Fund I|||Technology Transfer Fund|LP|Technology Transfer Fund acts as LP in Eureka! Fund I|cdpventurecapital.it
VenturItaly Fund of Funds|VC_Fund|First Space Fund|||VenturItaly Fund of Funds|LP|VenturItaly Fund of Funds acts as LP in First Space Fund|cdpventurecapital.it
