name|surname|role_type|linkedin_url|twitter_handle|location|biography|birth_year|education|previous_experience|specialization|reputation_score
Marco|Ogliengo|Founder|https://www.linkedin.com/in/mogliengo/||||||||
Francesco|Scalambrino|Founder|https://www.linkedin.com/in/francescoscalambrino/||||||||
Matteo|Cera|Founder|https://www.linkedin.com/in/matteocera/||||||||
Giovanni|Dal Gallo|Founder|https://www.linkedin.com/in/giovannidelgallo/||||||||
Nicolò|Mazzocchi|Founder|https://www.linkedin.com/in/nicolo-mazzocchi-16a39215b/||||||||
Simone|Patera|Founder|https://www.linkedin.com/in/simone-patera-business-developer/https://www.linkedin.com/in/simone-patera-business-developer/||||||||
Giorgia|Caruso|Founder|https://www.linkedin.com/in/giorgia-caruso-1a340b178/||||||||
Marco|Sanpellegrini|Founder|https://www.linkedin.com/in/marco-sampellegrini/||||||||
Edoardo|Tarricone|Founder|https://www.linkedin.com/in/edoardotarricone/||||||||
Marco|Cortinovis|Founder|https://www.linkedin.com/in/marcocortinovis/||||||||
Edoardo|Arbizzi|Founder|https://www.linkedin.com/in/edoardoarbizzi/||||||||
Edoardo|Gava|Founder|https://www.linkedin.com/in/edoardogava/||||||||
Renato|Ciri|Founder|https://www.linkedin.com/in/circi/||||||||
Rafaël|Michali|Founder|https://www.linkedin.com/in/rafa%C3%ABl-michali-656136101/||||||||
Stefano|Pellegrino|Founder|https://www.linkedin.com/in/pellegrinostefano/||||||||
Andrea|Mach|Founder|https://www.linkedin.com/in/andrea-mach-7656a7107/||||||||
Alex|Culebras|Founder|https://www.linkedin.com/in/alexculebras/||||||||
Gabriele|Franco|Founder|https://www.linkedin.com/in/gabriele-franco-hybrida/||||||||
Cristian|Nozzi|Founder|https://www.linkedin.com/in/cristian-n-a70272150/||||||||
Luca|Cozzarini|Founder|https://www.linkedin.com/in/luca-cozzarini/||||||||
Mattia|Mauro|Founder|https://www.linkedin.com/in/mattia-mauro-437a35197/||||||||
Mark|Lundwall|Founder|https://www.linkedin.com/in/marclundwall/||||||||
Alexis|Bonnafont|Founder|https://www.linkedin.com/in/alexis-bonnafont/||||||||
Stefano|Fumi|Founder|https://www.linkedin.com/in/stefano-fumi-5826a64/||||||||
Giuseppe|Teatino|Founder|https://www.linkedin.com/in/giuseppe-teatino/||||||||
Federico|Ungolo|Founder|https://www.linkedin.com/in/federico-ungolo/||||||||
Giuseppe|Faraci|Founder|https://www.linkedin.com/in/giuseppefaraci/||||||||
Claudio|Caletti|Founder|https://www.linkedin.com/in/claudiocaletti/||||||||
Luca|Foresti|Founder|https://www.linkedin.com/in/lforesti/||||||||
