investor_name|investor_type|startup_name|round_stage|round_date|amount|valuation_pre|valuation_post|is_lead_investor|board_seats|equity_percentage
Italian Founders Fund|VC_Firm|Jet HR||||||||
Italian Founders Fund|VC_Firm|Glaut||||||||
Italian Founders Fund|VC_Firm|Skillvue||||||||
Italian Founders Fund|VC_Firm|Salupay||||||||
Italian Founders Fund|VC_Firm|Complaion||||||||
Italian Founders Fund|VC_Firm|Compri||||||||
Italian Founders Fund|VC_Firm|Sava||||||||
Italian Founders Fund|VC_Firm|Aquila||||||||
Italian Founders Fund|VC_Firm|Peekz||||||||
Italian Founders Fund|VC_Firm|Cassandra||||||||
Italian Founders Fund|VC_Firm|Brum||||||||
Italian Founders Fund|VC_Firm|Excellence Learning||||||||
Italian Founders Fund|VC_Firm|TaDa||||||||
Italian Founders Fund|VC_Firm|ReportAId||||||||
