name|description|website|founded_year|stage|sector|business_model|headquarters|employee_count|status|total_funding|last_funding_date|exit_date|exit_value
Jet HR|Digital payroll management and HR processes for SMBs. SaaS solution targeting business owners and HR professionals.|https://www.jethr.com/||Seed|HR Tech|SaaS|Italy||active||||
Glaut|Glaut is an AI-native market research platform that helps companies gather and act on customer insights at scale.|https://www.glaut.com/||Seed|MarTech|B2B|United States||active||||
Skillvue|Skillvue is an AI-based Skills Platform that supports companies in analyzing candidates' and employee's skills at scale, enabling them to make more informed and quicker decisions in recruitment, internal mobility and talent development processes.|https://en.skillvue.ai/||Seed|HR Tech|B2B|Italy||active||||
Salupay|Salupay is a revenue collection software for healthcare clinics that brings efficiency and automation allowing doctors to focus on their jobs and patients to have better access to care.|https://salupay.it/||Seed|FinTech|B2B|Italy||active||||
Complaion|An AI-first service to help SMBs achieve, maintain and leverage ISO level|https://www.complaion.com/||Seed|AI & Machine Learning|B2B|Italy||active||||
Compri|Next-gen procurement operating system for manufacturing SMEs in Europe.|https://www.compri.ai/||Seed|Technology|B2B|Italy||active||||
Sava|Revolutionizing health monitoring with advanced, painless biosensing technology.|https://www.sava.health/||Seed|HealthTech|B2B|United Kingdom||active||||
Aquila|IoT-powered ESG tracking for sustainable finance through automated data integration.|https://aquila.is/||Seed|FinTech|B2B|Singapore||active||||
Peekz|AI-powered companions redefining networking with personalized career growth.|http://www.peekz.com/||Seed|AI & Machine Learning|B2B|United States||active||||
Cassandra|AI-driven budget allocator optimizing ad spend for maximum ROI.|http://cassandra.app/||Seed|MarTech|B2B|Italy||active||||
Brum|Digital driver’s license solution for faster, efficient, and safer licensing.|https://www.brumpatenti.it/||Seed|Technology|B2B|Italy||active||||
Excellence Learning|Excellence Learning is an AI-powered tutoring platform specializing in math and science for 4th-12th graders.|https://www.excellence-ai.com/||Seed|EdTech|B2B|United States||active||||
TaDa|AI-driven home energy analytics for optimized efficiency and sustainability.​|https://www.tadapower.it/||Seed|Energy & CleanTech|B2B|Italy||active||||
ReportAId|ReportAid is a pioneering AI-driven platform designed to transform medical reports into actionable insights.|https://www.reportaid.ai/||Seed|HealthTech|B2B|Italy||active||||
