investor_name|investor_type|startup_name|round_stage|round_date|amount|valuation_pre|valuation_post|is_lead_investor|board_seats|equity_percentage
Prana Ventures|VC_Firm|GetPica|Seed|||||true||
Prana Ventures|VC_Firm|Green Future Project|Seed|||||true||
Prana Ventures|VC_Firm|Daze|Seed|||||true||
Prana Ventures|VC_Firm|BeSafe|Seed|||||true||
Prana Ventures|VC_Firm|Aryel|Seed|||||true||
Prana Ventures|VC_Firm|Sharewood|Seed|||||true||
Prana Ventures|VC_Firm|Ring33|Seed|||||true||
Prana Ventures|VC_Firm|Ponyu|Seed|||||true||
Prana Ventures|VC_Firm|Plentiness|Seed|||||true||
Prana Ventures|VC_Firm|JetHR|Seed|||||true||
Prana Ventures|VC_Firm|Hygge|Seed|||||true||
Prana Ventures|VC_Firm|Hercle|Seed|||||true||
Prana Ventures|VC_Firm|Factanza|Seed|||||true||
