investor_name|investor_type|startup_name|round_stage|round_date|amount|valuation_pre|valuation_post|is_lead_investor|board_seats|equity_percentage
Primo Capital|VC_Firm|181 Travel|Growth|||||true||
Primo Capital|VC_Firm|Aiko|Growth|||||true||
Primo Capital|VC_Firm|Apogeo Space|Growth|||||true||
Primo Capital|VC_Firm|Astradyne|Growth|||||true||
Primo Capital|VC_Firm|Astrocast|Growth|||||true||
Primo Capital|VC_Firm|Brandon Group|Growth|||||true||
Primo Capital|VC_Firm|Breadcrumbs.io|Growth|||||true||
Primo Capital|VC_Firm|Caracol|Growth|||||true||
Primo Capital|VC_Firm|ChAI|Growth|||||true||
Primo Capital|VC_Firm|Checkmab|Growth|||||true||
Primo Capital|VC_Firm|Codemotion|Growth|||||true||
Primo Capital|VC_Firm|Crestoptics|Growth|||||true||
Primo Capital|VC_Firm|CryptoBooks|Growth|||||true||
Primo Capital|VC_Firm|Cubbit|Growth|||||true||
Primo Capital|VC_Firm|D-Orbit|Growth|||||true||
Primo Capital|VC_Firm|Data Masters|Growth|||||true||
Primo Capital|VC_Firm|Ecosmic|Growth|||||true||
Primo Capital|VC_Firm|Enterome SA|Growth|||||true||
Primo Capital|VC_Firm|Eoliann|Growth|||||true||
Primo Capital|VC_Firm|Event.com|Growth|||||true||
Primo Capital|VC_Firm|Eventboost|Growth|||||true||
Primo Capital|VC_Firm|Factanza Media|Growth|||||true||
Primo Capital|VC_Firm|Inreception|Growth|||||true||
Primo Capital|VC_Firm|InstaKitchen|Growth|||||true||
Primo Capital|VC_Firm|Irreo|Growth|||||true||
Primo Capital|VC_Firm|Italian Artisan|Growth|||||true||
Primo Capital|VC_Firm|Keyless|Growth|||||true||
Primo Capital|VC_Firm|Krill Design|Growth|||||true||
Primo Capital|VC_Firm|Pangaea Aerospace|Growth|||||true||
Primo Capital|VC_Firm|Pedius|Growth|||||true||
Primo Capital|VC_Firm|Pieffeuno|Growth|||||true||
Primo Capital|VC_Firm|Qomodo|Growth|||||true||
Primo Capital|VC_Firm|Quicare|Growth|||||true||
Primo Capital|VC_Firm|RarEarth|Growth|||||true||
Primo Capital|VC_Firm|Revolv Space|Growth|||||true||
Primo Capital|VC_Firm|SardexPay|Growth|||||true||
Primo Capital|VC_Firm|Servitly|Growth|||||true||
Primo Capital|VC_Firm|Shop Circle|Growth|||||true||
Primo Capital|VC_Firm|Sidereus|Growth|||||true||
Primo Capital|VC_Firm|Sift|Growth|||||true||
Primo Capital|VC_Firm|Silk Biomaterials|Growth|||||true||
Primo Capital|VC_Firm|Startupitalia|Growth|||||true||
Primo Capital|VC_Firm|Stellar|Growth|||||true||
Primo Capital|VC_Firm|Transactionale|Growth|||||true||
Primo Capital|VC_Firm|Vection Technologies|Growth|||||true||
Primo Capital|VC_Firm|Wise|Growth|||||true||
Primo Capital|VC_Firm|WithLess|Growth|||||true||
Primo Capital|VC_Firm|WordLift|Growth|||||true||
Primo Capital|VC_Firm|YOLO|Growth|||||true||
