name|description|website|founded_year|stage|sector|business_model|headquarters|employee_count|status|total_funding|last_funding_date|exit_date|exit_value
181 Travel|A new way to craft flawless travel experiences|https://181travel.com/||Growth|Travel & Tourism|B2B|Italy||active||||
Aiko|TRL 9 Artificial Intelligence for space missions.|https://www.aikospace.com/||Growth|Space & Aerospace|B2B|Italy||active||||
Apogeo Space|Constellation of nanosatellites for IoT|http://www.apogeo.space/#ss1||Growth|Space & Aerospace|B2B|Italy||active||||
Astradyne|Deployable structures for space and Earth|https://www.astradyne.space/||Growth|Space & Aerospace|B2B|Italy||active||||
Astrocast|The most advanced global nanosatellite IoT network|https://www.astrocast.com/||Growth|Space & Aerospace|B2B|Italy||active||||
Brandon Group|Your Digital Bridge|http://brandongroup.it/||Growth|Technology|B2B|Italy||active||||
Breadcrumbs.io|The revenue accelerator|https://breadcrumbs.io/||Growth|MarTech|B2B|Italy||active||||
Caracol|Large-scale additive manufacturing|https://caracol-am.com/||Growth|Manufacturing|B2B|Italy||active||||
ChAI|Commodity Pricing Forecasting|https://chaipredict.com/||Growth|FinTech|B2B|Italy||active||||
Checkmab|Checkmate to cancer|https://www.checkmab.eu/en/homepage/||Growth|HealthTech|B2B|Switzerland||active||||
Codemotion|We code the future. Together|https://codemotionworld.com||Growth|EdTech|B2B|Italy||active||||
Crestoptics|fluorescence microscopy|https://crestoptics.com/||Growth|HealthTech|B2B|Italy||active||||
CryptoBooks|Accounting software solutions for digital assets|https://www.xbooks.it/||Growth|FinTech|SaaS|Italy||active||||
Cubbit|Distributed, secure, encrypted cloud storage|https://cubbit.io/||Growth|Enterprise Software|B2B|Italy||active||||
D-Orbit|Space logistics and orbital transportation services|https://www.dorbit.space/||Growth|Space & Aerospace|B2B|Italy||active||||
Data Masters|La AI Academy italiana per la formazione in Intelligenza Artificiale, Machine Learning e Data Science|https://datamasters.it/||Growth|EdTech|B2B|Italy||active||||
Ecosmic|Enabling sustainable space operations|https://www.ecosmic.space/||Growth|Space & Aerospace|B2B|Italy||active||||
Enterome SA|Delivering the promise of immunotherapy|https://www.enterome.com/||Growth|HealthTech|B2B|Italy||active||||
Eoliann|We help financial institutions forecast climate risks|https://www.eoliann.com/||Growth|FinTech|B2B|Italy||active||||
Event.com|Events.com connects people with the experiences they love|https://events.com/||Growth|Consumer Tech|B2C|Italy||active||||
Eventboost|The event management software|https://www.eventboost.com/||Growth|Enterprise Software|SaaS|Italy||active||||
Factanza Media|L'informazione che crea (in)dipendenza|https://factanza.it/||Growth|Media & Entertainment|B2B|Italy||active||||
Inreception|Sell and manage your rooms|https://www.inreception.com/||Growth|Travel & Tourism|B2B|Italy||active||||
InstaKitchen|Kitchen coworking for food entrepreneurs|https://www.instakitchen.it/||Growth|Food & Beverage|B2B|Italy||active||||
Irreo|Sensorless Irrigation Planner|https://www.irreo.ai/||Growth|AgriTech|B2B|Italy||active||||
Italian Artisan|Made in Italy, Made Easy|https://italian-artisan.com/||Growth|Retail & E-commerce|B2C|Italy||active||||
Keyless|Zero-Trust Passwordless Authentication|https://keyless.io/||Growth|Cybersecurity|B2B|Italy||active||||
Krill Design|Innovative biomaterial for sustainable design|https://krilldesign.com/||Growth|Materials & Chemistry|B2B|Italy||active||||
Pangaea Aerospace|systems.|http://pangeaaerospace.com/||Growth|Space & Aerospace|B2B|Italy||active||||
Pedius|The application that allows the Deaf to make phone calls without a third party intermediary|https://www.pedius.org/it/home/||Growth|HealthTech|B2B|Italy||active||||
Pieffeuno|High quality APIs to the world|https://www.trifarma.it/||Growth|HealthTech|SaaS|Italy||active||||
Qomodo|Il futuro dei pagamenti nel settore delle riparazioni auto e delle spese impreviste.|https://www.qomodo.me/||Growth|FinTech|B2B|Italy||active||||
Quicare|Healthcare made easy|https://quicare.com/||Growth|HealthTech|B2B|Italy||active||||
RarEarth|Production of sustainable magnets made from recycled materials|https://www.rarearth.it/||Growth|Materials & Chemistry|B2B|Italy||active||||
